24.01,"Liberal Arts and Sciences, General Studies and Humanities."
25.01,Library Science and Administration.
25.03,Library and Archives Assisting.
25.99,"Library Science, Other."
26.01,"Biology, General."
26.02,"Biochemistry, Biophysics and Molecular Biology."
26.03,Botany/Plant Biology.
26.04,Cell/Cellular Biology and Anatomical Sciences.
26.05,Microbiological Sciences and Immunology.
26.07,Zoology/Animal Biology.
26.08,Genetics.
26.09,"Physiology, Pathology and Related Sciences."
26.10,Pharmacology and Toxicology.
26.11,"Biomathematics, Bioinformatics, and Computational Biology."
26.12,Biotechnology.
26.13,"Ecology, Evolution, Systematics, and Population Biology."
26.14,Molecular Medicine.
26.15,Neurobiology and Neurosciences.
26.99,"Biological and Biomedical Sciences, Other."
27.01,Mathematics.
27.03,Applied Mathematics.
27.05,Statistics.
27.06,Applied Statistics.
27.99,"Mathematics and Statistics, Other."
28.01,"Air Force ROTC, Air Science and Operations."
28.03,"Army ROTC, Military Science and Operations."
28.04,"Navy/Marine ROTC, Naval Science and Operations."
28.05,Military Science and Operational Studies.
28.06,Security Policy and Strategy.
28.07,Military Economics and Management.
28.99,"Military Science, Leadership and Operational Art, Other."
29.02,"Intelligence, Command Control and Information Operations."
29.03,Military Applied Sciences.
29.04,Military Systems and Maintenance Technology.
29.06,Military Technology and Applied Sciences Management.
29.99,"Military Technologies and Applied Sciences, Other."
30.00,"Multi-/Interdisciplinary Studies, General."
30.01,Biological and Physical Sciences.
30.05,Peace Studies and Conflict Resolution.
30.06,Systems Science and Theory.
30.08,Mathematics and Computer Science.
30.10,Biopsychology.
30.11,Gerontology.
30.12,Historic Preservation and Conservation.
30.13,Medieval and Renaissance Studies.
30.14,Museology/Museum Studies.
30.15,"Science, Technology and Society."
30.16,Accounting and Computer Science.
30.17,Behavioral Sciences.
30.18,Natural Sciences.
30.19,Nutrition Sciences.
30.20,International/Globalization Studies.
30.21,Holocaust and Related Studies.
30.22,Classical and Ancient Studies.
30.23,Intercultural/Multicultural and Diversity Studies.
30.25,Cognitive Science.
30.26,Cultural Studies/Critical Theory and Analysis.
30.27,Human Biology.
30.28,Dispute Resolution.
30.29,Maritime Studies.
30.30,Computational Science.
30.31,Human Computer Interaction.
30.32,Marine Sciences.
30.33,Sustainability Studies.
30.34,Anthrozoology.
30.35,Climate Science.
30.36,Cultural Studies and Comparative Literature.
30.37,Design for Human Health.
30.38,Earth Systems Science.
30.39,Economics and Computer Science.
30.40,Economics and Foreign Language/Literature.
30.41,Environmental Geosciences.
30.42,Geoarcheaology.
30.43,Geobiology.
30.44,Geography and Environmental Studies.
30.45,History and Language/Literature.
30.46,History and Political Science.
30.47,Linguistics and Anthropology.
30.48,Linguistics and Computer Science.
30.49,Mathematical Economics.
30.50,Mathematics and Atmospheric/Oceanic Science.
30.51,"Philosophy, Politics, and Economics."
30.52,Digital Humanities and Textual Studies.
30.53,Thanatology.
30.70,Data Science.
30.71,Data Analytics.
30.99,"Multi/Interdisciplinary Studies, Other."
31.01,"Parks, Recreation, and Leisure Studies."
31.03,"Parks, Recreation, and Leisure Facilities Management."
31.05,"Sports, Kinesiology, and Physical Education/Fitness."
31.06,Outdoor Education.
31.99,"Parks, Recreation, Leisure, Fitness, and Kinesiology, Other."
32.01,Basic Skills and Developmental/Remedial Education.
32.02,General Exam Preparation and Test-Taking Skills.
33.01,Citizenship Activities.
34.01,Health-Related Knowledge and Skills.
35.01,Interpersonal and Social Skills.
36.01,Leisure and Recreational Activities.
36.02,Noncommercial Vehicle Operation.
37.01,Personal Awareness and Self-Improvement.
38.00,"Philosophy and Religious Studies, General."
38.01,Philosophy.
38.02,Religion/Religious Studies.
38.99,"Philosophy and Religious Studies, Other."
39.02,Bible/Biblical Studies.
39.03,Missions/Missionary Studies and Missiology.
39.04,Religious Education.
39.05,Religious Music and Worship.
39.06,Theological and Ministerial Studies.
39.07,Pastoral Counseling and Specialized Ministries.
39.08,Religious Institution Administration and Law.
39.99,"Theology and Religious Vocations, Other."
40.01,"Physical Sciences, General."
40.02,Astronomy and Astrophysics.
40.04,Atmospheric Sciences and Meteorology.
40.05,Chemistry.
40.06,Geological and Earth Sciences/Geosciences.
40.08,Physics.
40.10,Materials Sciences.
40.11,Physics and Astronomy.
40.99,"Physical Sciences, Other."
41.00,"Science Technologies/Technicians, General."
41.01,Biology/Biotechnology Technologies/Technicians.
41.02,Nuclear and Industrial Radiologic Technologies/Technicians.
41.03,Physical Science Technologies/Technicians.
41.99,"Science Technologies/Technicians, Other."
42.01,"Psychology, General."
42.27,Research and Experimental Psychology.
42.28,"Clinical, Counseling and Applied Psychology."
42.99,"Psychology, Other."
43.01,Criminal Justice and Corrections.
43.02,Fire Protection.
43.03,Homeland Security.
43.04,Security Science and Technology.
43.99,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other."
44.00,"Human Services, General."
44.02,Community Organization and Advocacy.
44.04,Public Administration.
44.05,Public Policy Analysis.
44.07,Social Work.
44.99,"Public Administration and Social Service Professions, Other."
45.01,"Social Sciences, General."
45.02,Anthropology.
45.03,Archeology.
45.04,Criminology.
45.05,Demography.
45.06,Economics.
45.07,Geography and Cartography.
45.09,International Relations and National Security Studies.
45.10,Political Science and Government.
45.11,Sociology.
45.12,Urban Studies/Affairs.
45.13,Sociology and Anthropology.
45.14,Rural Sociology.
45.15,Geography and Anthropology.
45.99,"Social Sciences, Other."
46.00,"Construction Trades, General."
46.01,Mason/Masonry.
46.02,Carpenters.
46.03,Electrical and Power Transmission Installers.
46.04,"Building/Construction Finishing, Management, and Inspection."
46.05,Plumbing and Related Water Supply Services.
46.99,"Construction Trades, Other."
47.00,"Mechanics and Repairers, General."
47.01,Electrical/Electronics Maintenance and Repair Technologies/Technicians.
47.02,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)."
47.03,Heavy/Industrial Equipment Maintenance Technologies/Technicians.
47.04,Precision Systems Maintenance and Repair Technologies/Technicians.
47.06,Vehicle Maintenance and Repair Technologies/Technicians.
47.07,Energy Systems Maintenance and Repair Technologies/Technicians.
47.99,"Mechanic and Repair Technologies/Technicians, Other."
48.00,"Precision Production Trades, General."
48.03,Leatherworking and Upholstery.
48.05,Precision Metal Working.
48.07,Woodworking.
48.08,Boilermaking/Boilermaker.
48.99,"Precision Production, Other."
49.01,Air Transportation.
49.02,Ground Transportation.
49.03,Marine Transportation.
49.99,"Transportation and Materials Moving, Other."
50.01,"Visual and Performing Arts, General."
50.02,"Crafts/Craft Design, Folk Art and Artisanry."
50.03,Dance.
50.04,Design and Applied Arts.
50.05,Drama/Theatre Arts and Stagecraft.
50.06,Film/Video and Photographic Arts.
50.07,Fine and Studio Arts.
50.09,Music.
50.10,"Arts, Entertainment, and Media Management."
50.11,Community/Environmental/Socially-Engaged Art.
50.99,"Visual and Performing Arts, Other."
51.00,"Health Services/Allied Health/Health Sciences, General."
51.01,Chiropractic.
51.02,Communication Disorders Sciences and Services.
51.04,Dentistry.
51.05,Advanced/Graduate Dentistry and Oral Sciences.
51.06,Dental Support Services and Allied Professions.
51.07,Health and Medical Administrative Services.
51.08,Allied Health and Medical Assisting Services.
51.09,"Allied Health Diagnostic, Intervention, and Treatment Professions."
51.10,Clinical/Medical Laboratory Science/Research and Allied Professions.
51.11,Health/Medical Preparatory Programs.
51.12,Medicine.
51.14,Medical Clinical Sciences/Graduate Medical Studies.
51.15,Mental and Social Health Services and Allied Professions.
51.17,Optometry.
51.18,Ophthalmic and Optometric Support Services and Allied Professions.
51.19,Osteopathic Medicine/Osteopathy.
51.20,"Pharmacy, Pharmaceutical Sciences, and Administration."
51.21,Podiatric Medicine/Podiatry.
51.22,Public Health.
51.23,Rehabilitation and Therapeutic Professions.
51.24,Veterinary Medicine.
51.25,Veterinary Biomedical and Clinical Sciences.
51.26,Health Aides/Attendants/Orderlies.
51.27,Medical Illustration and Informatics.
51.31,Dietetics and Clinical Nutrition Services.
51.32,"Health Professions Education, Ethics, and Humanities."
51.33,Alternative and Complementary Medicine and Medical Systems.
51.34,Alternative and Complementary Medical Support Services.
51.35,Somatic Bodywork and Related Therapeutic Services.
51.36,Movement and Mind-Body Therapies and Education.
51.37,Energy and Biologically Based Therapies.
51.38,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing."
51.39,"Practical Nursing, Vocational Nursing and Nursing Assistants."
51.99,"Health Professions and Related Clinical Sciences, Other."
52.01,"Business/Commerce, General."
52.02,"Business Administration, Management and Operations."
52.03,Accounting and Related Services.
52.04,Business Operations Support and Assistant Services.
52.05,Business/Corporate Communications.
52.06,Business/Managerial Economics.
52.07,Entrepreneurial and Small Business Operations.
52.08,Finance and Financial Management Services.
52.09,Hospitality Administration/Management.
52.10,Human Resources Management and Services.
52.11,International Business.
52.12,Management Information Systems and Services.
52.13,Management Sciences and Quantitative Methods.
52.14,Marketing.
52.15,Real Estate.
52.16,Taxation.
52.17,Insurance.
52.18,"General Sales, Merchandising and Related Marketing Operations."
52.19,"Specialized Sales, Merchandising and  Marketing Operations."
52.20,Construction Management.
52.21,Telecommunications Management.
52.99,"Business, Management, Marketing, and Related Support Services, Other."
53.01,High School/Secondary Diploma Programs.
53.02,High School/Secondary Certificate Programs.
54.01,History.
60.01,Dental Residency/Fellowship Programs.
60.03,Veterinary Residency/Fellowship Programs.
60.04,Medical Residency Programs - General Certificates.
60.05,Medical Residency Programs - Subspecialty Certificates.
60.06,Podiatric Medicine Residency Programs.
60.07,Nurse Practitioner Residency/Fellowship Programs.
60.08,Pharmacy Residency/Fellowship Programs.
60.09,Physician Assistant Residency/Fellowship Programs.
60.99,"Health Professions Residency/Fellowship Programs, Other."
61.01,Combined Medical Residency/Fellowship Programs.
61.02,Multiple-Pathway Medical Fellowship Programs.
61.03,Allergy and Immunology Residency/Fellowship Programs.
61.04,Anesthesiology Residency/Fellowship Programs.
61.05,Dermatology Residency/Fellowship Programs.
61.06,Emergency Medicine Residency/Fellowship Programs.
61.07,Family Medicine Residency/Fellowship Programs.
61.08,Internal Medicine Residency/Fellowship Programs.
61.09,Medical Genetics and Genomics Residency/Fellowship Programs.
61.10,Neurological Surgery Residency/Fellowship Programs.
61.11,Neurology Residency/Fellowship Programs.
61.12,Nuclear Medicine Residency/Fellowship Programs.
61.13,Obstetrics and Gynecology Residency/Fellowship Programs.
61.14,Ophthalmology Residency/Fellowship Programs.
61.15,Orthopedic Surgery Residency/Fellowship Programs.
61.16,Osteopathic Medicine Residency/Fellowship Programs.
61.17,Otolaryngology Residency/Fellowship Programs.
61.18,Pathology Residency/Fellowship Programs.
61.19,Pediatrics Residency/Fellowship Programs.
61.20,Physical Medicine and Rehabilitation Residency/Fellowship Programs.
61.21,Plastic Surgery Residency/Fellowship Programs.
61.22,Podiatric Medicine Residency/Fellowship Programs.
61.23,Preventive Medicine Residency/Fellowship Programs.
61.24,Psychiatry Residency/Fellowship Programs.
61.25,Radiation Oncology Residency/Fellowship Programs.
61.26,Radiology Residency/Fellowship Programs.
61.27,Surgery Residency/Fellowship Programs.
61.28,Urology Residency/Fellowship Programs.
61.99,"Medical Residency/Fellowship Programs, Other."
